Date,Close
11/16/16,746.48999
11/15/16,743.23999
11/14/16,719.070007
11/11/16,739.01001
11/10/16,742.380005
11/9/16,771.880005
11/8/16,787.75
11/7/16,784.929993
11/4/16,755.049988
11/3/16,767.030029
11/2/16,765.559998
11/1/16,785.409973
10/31/16,789.820007
10/28/16,776.320007
10/27/16,818.359985
10/26/16,822.590027
10/25/16,835.179993
10/24/16,838.090027
10/21/16,818.98999
10/20/16,810.320007
10/19/16,817.690002
10/18/16,817.650024
10/17/16,812.950012
10/14/16,822.960022
10/13/16,829.280029
10/12/16,834.090027
10/11/16,831
10/10/16,841.710022
10/7/16,839.429993
10/6/16,841.659973
10/5/16,844.359985
10/4/16,834.030029
10/3/16,836.73999
9/30/16,837.309998
9/29/16,829.049988
9/28/16,828.719971
9/27/16,816.109985
9/26/16,799.159973
9/23/16,805.75
9/22/16,804.700012
9/21/16,789.73999
9/20/16,780.219971
9/19/16,775.099976
9/16/16,778.52002
9/15/16,769.690002
9/14/16,761.090027
9/13/16,761.01001
9/12/16,771.48999
9/9/16,760.140015
9/8/16,784.059998
9/7/16,784.47998
9/6/16,788.869995
9/2/16,772.440002
9/1/16,770.619995
8/31/16,769.159973
8/30/16,767.580017
8/29/16,771.289978
8/26/16,769
8/25/16,759.219971
8/24/16,757.25
8/23/16,762.450012
8/22/16,759.47998
8/19/16,757.309998
8/18/16,764.460022
8/17/16,764.630005
8/16/16,764.039978
8/15/16,768.48999
8/12/16,772.559998
8/11/16,771.23999
8/10/16,768.559998
8/9/16,768.309998
8/8/16,766.559998
8/5/16,765.97998
8/4/16,760.77002
8/3/16,754.640015
8/2/16,760.580017
8/1/16,767.73999
7/29/16,758.809998
7/28/16,752.609985
7/27/16,736.669983
7/26/16,735.590027
7/25/16,739.609985
7/22/16,744.859985
7/21/16,744.429993
7/20/16,745.719971
7/19/16,739.950012
7/18/16,736.070007
7/15/16,735.440002
7/14/16,741.200012
7/13/16,742.630005
7/12/16,748.210022
7/11/16,753.780029
7/8/16,745.809998
7/7/16,736.570007
7/6/16,737.609985
7/5/16,728.099976
7/1/16,725.679993
6/30/16,715.619995
6/29/16,715.599976
6/28/16,707.950012
6/27/16,691.359985
6/24/16,698.960022
6/23/16,722.080017
6/22/16,710.599976
6/21/16,715.820007
6/20/16,714.01001
6/17/16,706.390015
6/16/16,717.51001
6/15/16,714.26001
6/14/16,719.299988
6/13/16,715.23999
6/10/16,717.909973
6/9/16,727.650024
6/8/16,726.640015
6/7/16,723.73999
6/6/16,726.72998
6/3/16,725.539978
6/2/16,728.23999
6/1/16,719.440002
5/31/16,722.789978
5/27/16,712.23999
5/26/16,714.909973
5/25/16,708.349976
5/24/16,704.200012
5/23/16,696.75
5/20/16,702.799988
5/19/16,698.52002
5/18/16,697.450012
5/17/16,695.27002
5/16/16,710.659973
5/13/16,709.919983
5/12/16,717.929993
5/11/16,713.22998
5/10/16,703.070007
5/9/16,679.75
5/6/16,673.950012
5/5/16,659.090027
5/4/16,670.900024
5/3/16,671.320007
5/2/16,683.849976
4/29/16,659.590027
4/28/16,602
4/27/16,606.570007
4/26/16,616.880005
4/25/16,626.200012
4/22/16,620.5
4/21/16,631
4/20/16,632.98999
4/19/16,627.900024
4/18/16,635.349976
4/15/16,625.890015
4/14/16,620.75
4/13/16,614.820007
4/12/16,603.169983
4/11/16,595.929993
4/8/16,594.599976
4/7/16,591.429993
4/6/16,602.080017
4/5/16,586.140015
4/4/16,593.190002
4/1/16,598.5
3/31/16,593.640015
3/30/16,598.690002
3/29/16,593.859985
3/28/16,579.869995
3/24/16,582.950012
3/23/16,569.630005
3/22/16,560.47998
3/21/16,553.97998
3/18/16,552.080017
3/17/16,559.440002
3/16/16,574.27002
3/15/16,577.02002
3/14/16,573.369995
3/11/16,569.609985
3/10/16,558.929993
3/9/16,559.469971
3/8/16,560.26001
3/7/16,562.799988
3/4/16,575.140015
3/3/16,577.48999
3/2/16,580.210022
3/1/16,579.039978
2/29/16,552.52002
2/26/16,555.22998
2/25/16,555.150024
2/24/16,554.039978
2/23/16,552.940002
2/22/16,559.5
2/19/16,534.900024
2/18/16,525
2/17/16,534.099976
2/16/16,521.099976
2/12/16,507.079987
2/11/16,503.820007
2/10/16,490.480011
2/9/16,482.070007
2/8/16,488.100006
2/5/16,502.130005
2/4/16,536.26001
2/3/16,531.070007
2/2/16,552.099976
2/1/16,574.809998
1/29/16,587
1/28/16,635.349976
1/27/16,583.349976
1/26/16,601.25
1/25/16,596.530029
1/22/16,596.380005
1/21/16,575.02002
1/20/16,571.77002
1/19/16,574.47998
1/15/16,570.179993
1/14/16,593
1/13/16,581.809998
1/12/16,617.890015
1/11/16,617.73999
1/8/16,607.049988
1/7/16,607.940002
1/6/16,632.650024
1/5/16,633.789978
1/4/16,636.98999
12/31/15,675.890015
12/30/15,689.070007
12/29/15,693.969971
12/28/15,675.200012
12/24/15,662.789978
12/23/15,663.700012
12/22/15,663.150024
12/21/15,664.51001
12/18/15,664.140015
12/17/15,670.650024
12/16/15,675.77002
12/15/15,658.640015
12/14/15,657.909973
12/11/15,640.150024
12/10/15,662.320007
12/9/15,664.789978
12/8/15,677.330017
12/7/15,669.830017
12/4/15,672.640015
12/3/15,666.25
12/2/15,676.01001
12/1/15,679.059998
11/30/15,664.799988
11/27/15,673.26001
11/25/15,675.340027
11/24/15,671.150024
11/23/15,678.98999
11/20/15,668.450012
11/19/15,661.27002
11/18/15,663.539978
11/17/15,643.299988
11/16/15,647.809998
11/13/15,642.349976
11/12/15,665.599976
11/11/15,673.25
11/10/15,659.679993
11/9/15,655.48999
11/6/15,659.369995
11/5/15,655.650024
11/4/15,640.950012
11/3/15,625.309998
11/2/15,628.349976
10/30/15,625.900024
10/29/15,626.549988
10/28/15,617.099976
10/27/15,611.01001
10/26/15,608.609985
10/23/15,599.030029
10/22/15,563.909973
10/21/15,555.77002
10/20/15,560.880005
10/19/15,573.150024
10/16/15,570.76001
10/15/15,562.440002
10/14/15,544.830017
10/13/15,548.900024
10/12/15,550.190002
10/9/15,539.799988
10/8/15,533.159973
10/7/15,541.940002
10/6/15,537.47998
10/5/15,543.679993
10/2/15,532.539978
10/1/15,520.719971
9/30/15,511.890015
9/29/15,496.070007
9/28/15,504.059998
9/25/15,524.25
9/24/15,533.75
9/23/15,536.070007
9/22/15,538.400024
9/21/15,548.390015
9/18/15,540.26001
9/17/15,538.869995
9/16/15,527.390015
9/15/15,522.369995
9/14/15,521.380005
9/11/15,529.440002
9/10/15,522.23999
9/9/15,516.890015
9/8/15,517.539978
9/4/15,499
9/3/15,504.720001
9/2/15,510.549988
9/1/15,496.540009
8/31/15,512.890015
8/28/15,518.01001
8/27/15,518.369995
8/26/15,500.769989
8/25/15,466.369995
8/24/15,463.369995
8/21/15,494.470001
8/20/15,515.780029
8/19/15,532.919983
8/18/15,535.02002
8/17/15,535.219971
